


                                __________________________________________
                               |                                          |
                               | NUMERICAL ELECTROMAGNETICS CODE (nec2++) |
                               | Implemented in 'C++' in Double Precision |
                               |        Version 1.7.5 [Nov 13 2025]        |
                               |__________________________________________|



                               ---------------- COMMENTS ----------------
                                NEC-4 gives impedance at source of -61.4 + j621
                                NEC-2 reports a believable 14.8 + j105 ohms.
                               



                                -------- STRUCTURE SPECIFICATION --------
                                COORDINATES MUST BE INPUT IN
                                METERS OR BE SCALED TO METERS
                                BEFORE STRUCTURE INPUT IS ENDED
  WIRE                                                                                 SEG FIRST  LAST  TAG
   No:        X1         Y1         Z1         X2         Y2         Z2       RADIUS   No:   SEG   SEG  No:

     1      0.0000   -15.5448    15.2400     0.0000     0.0000    15.2400     0.0008    21     1    21    1
     2      0.0000     0.0000    15.2400     0.0000    15.5448    15.2400     0.0008    21    22    42    2
     3      0.0000     0.0000    15.2400     0.0000     0.0000     0.1524     0.0008    21    43    63    3
     4      0.0000     0.0000     0.1524     0.0000    50.2920     0.1524     0.0008    21    64    84    4
     5      0.0000     0.0000     0.1524     0.0000   -50.2920     0.1524     0.0008    21    85   105    5

     GROUND PLANE SPECIFIED.
     WHERE WIRE ENDS TOUCH GROUND, CURRENT WILL BE INTERPOLATED TO IMAGE IN GROUND PLANE.


     TOTAL SEGMENTS USED: 105   SEGMENTS IN A SYMMETRIC CELL: 105   SYMMETRY FLAG: 0

    ---------- MULTIPLE WIRE JUNCTIONS ----------
    JUNCTION  SEGMENTS (- FOR END 1, + FOR END 2)
       1         21  -22  -43
       2         63  -64  -85


                               ---------- SEGMENTATION DATA ----------
                                        COORDINATES IN METERS
                            I+ AND I- INDICATE THE SEGMENTS BEFORE AND AFTER I

   SEG    COORDINATES OF SEGM CENTER     SEGM    ORIENTATION ANGLES    WIRE    CONNECTION DATA   TAG
   No:       X         Y         Z      LENGTH     ALPHA      BETA    RADIUS    I-     I    I+   NO:
     1    0.0000  -15.1747   15.2400    0.7402    0.0000   90.0000    0.0008     0     1     2     1
     2    0.0000  -14.4345   15.2400    0.7402    0.0000   90.0000    0.0008     1     2     3     1
     3    0.0000  -13.6942   15.2400    0.7402    0.0000   90.0000    0.0008     2     3     4     1
     4    0.0000  -12.9540   15.2400    0.7402    0.0000   90.0000    0.0008     3     4     5     1
     5    0.0000  -12.2138   15.2400    0.7402    0.0000   90.0000    0.0008     4     5     6     1
     6    0.0000  -11.4735   15.2400    0.7402    0.0000   90.0000    0.0008     5     6     7     1
     7    0.0000  -10.7333   15.2400    0.7402    0.0000   90.0000    0.0008     6     7     8     1
     8    0.0000   -9.9931   15.2400    0.7402    0.0000   90.0000    0.0008     7     8     9     1
     9    0.0000   -9.2529   15.2400    0.7402    0.0000   90.0000    0.0008     8     9    10     1
    10    0.0000   -8.5126   15.2400    0.7402    0.0000   90.0000    0.0008     9    10    11     1
    11    0.0000   -7.7724   15.2400    0.7402    0.0000   90.0000    0.0008    10    11    12     1
    12    0.0000   -7.0322   15.2400    0.7402    0.0000   90.0000    0.0008    11    12    13     1
    13    0.0000   -6.2919   15.2400    0.7402    0.0000   90.0000    0.0008    12    13    14     1
    14    0.0000   -5.5517   15.2400    0.7402    0.0000   90.0000    0.0008    13    14    15     1
    15    0.0000   -4.8115   15.2400    0.7402    0.0000   90.0000    0.0008    14    15    16     1
    16    0.0000   -4.0713   15.2400    0.7402    0.0000   90.0000    0.0008    15    16    17     1
    17    0.0000   -3.3310   15.2400    0.7402    0.0000   90.0000    0.0008    16    17    18     1
    18    0.0000   -2.5908   15.2400    0.7402    0.0000   90.0000    0.0008    17    18    19     1
    19    0.0000   -1.8506   15.2400    0.7402    0.0000   90.0000    0.0008    18    19    20     1
    20    0.0000   -1.1103   15.2400    0.7402    0.0000   90.0000    0.0008    19    20    21     1
    21    0.0000   -0.3701   15.2400    0.7402    0.0000   90.0000    0.0008    20    21    22     1
    22    0.0000    0.3701   15.2400    0.7402    0.0000   90.0000    0.0008   -43    22    23     2
    23    0.0000    1.1103   15.2400    0.7402    0.0000   90.0000    0.0008    22    23    24     2
    24    0.0000    1.8506   15.2400    0.7402    0.0000   90.0000    0.0008    23    24    25     2
    25    0.0000    2.5908   15.2400    0.7402    0.0000   90.0000    0.0008    24    25    26     2
    26    0.0000    3.3310   15.2400    0.7402    0.0000   90.0000    0.0008    25    26    27     2
    27    0.0000    4.0713   15.2400    0.7402    0.0000   90.0000    0.0008    26    27    28     2
    28    0.0000    4.8115   15.2400    0.7402    0.0000   90.0000    0.0008    27    28    29     2
    29    0.0000    5.5517   15.2400    0.7402    0.0000   90.0000    0.0008    28    29    30     2
    30    0.0000    6.2919   15.2400    0.7402    0.0000   90.0000    0.0008    29    30    31     2
    31    0.0000    7.0322   15.2400    0.7402    0.0000   90.0000    0.0008    30    31    32     2
    32    0.0000    7.7724   15.2400    0.7402    0.0000   90.0000    0.0008    31    32    33     2
    33    0.0000    8.5126   15.2400    0.7402    0.0000   90.0000    0.0008    32    33    34     2
    34    0.0000    9.2529   15.2400    0.7402    0.0000   90.0000    0.0008    33    34    35     2
    35    0.0000    9.9931   15.2400    0.7402    0.0000   90.0000    0.0008    34    35    36     2
    36    0.0000   10.7333   15.2400    0.7402    0.0000   90.0000    0.0008    35    36    37     2
    37    0.0000   11.4735   15.2400    0.7402    0.0000   90.0000    0.0008    36    37    38     2
    38    0.0000   12.2138   15.2400    0.7402    0.0000   90.0000    0.0008    37    38    39     2
    39    0.0000   12.9540   15.2400    0.7402    0.0000   90.0000    0.0008    38    39    40     2
    40    0.0000   13.6942   15.2400    0.7402    0.0000   90.0000    0.0008    39    40    41     2
    41    0.0000   14.4345   15.2400    0.7402    0.0000   90.0000    0.0008    40    41    42     2
    42    0.0000   15.1747   15.2400    0.7402    0.0000   90.0000    0.0008    41    42     0     2
    43    0.0000    0.0000   14.8808    0.7185  -90.0000    0.0000    0.0008    21    43    44     3
    44    0.0000    0.0000   14.1623    0.7185  -90.0000    0.0000    0.0008    43    44    45     3
    45    0.0000    0.0000   13.4439    0.7185  -90.0000    0.0000    0.0008    44    45    46     3
    46    0.0000    0.0000   12.7254    0.7185  -90.0000    0.0000    0.0008    45    46    47     3
    47    0.0000    0.0000   12.0069    0.7185  -90.0000    0.0000    0.0008    46    47    48     3
    48    0.0000    0.0000   11.2885    0.7185  -90.0000    0.0000    0.0008    47    48    49     3
    49    0.0000    0.0000   10.5700    0.7185  -90.0000    0.0000    0.0008    48    49    50     3
    50    0.0000    0.0000    9.8516    0.7185  -90.0000    0.0000    0.0008    49    50    51     3
    51    0.0000    0.0000    9.1331    0.7185  -90.0000    0.0000    0.0008    50    51    52     3
    52    0.0000    0.0000    8.4147    0.7185  -90.0000    0.0000    0.0008    51    52    53     3
    53    0.0000    0.0000    7.6962    0.7185  -90.0000    0.0000    0.0008    52    53    54     3
    54    0.0000    0.0000    6.9777    0.7185  -90.0000    0.0000    0.0008    53    54    55     3
    55    0.0000    0.0000    6.2593    0.7185  -90.0000    0.0000    0.0008    54    55    56     3
    56    0.0000    0.0000    5.5408    0.7185  -90.0000    0.0000    0.0008    55    56    57     3
    57    0.0000    0.0000    4.8224    0.7185  -90.0000    0.0000    0.0008    56    57    58     3
    58    0.0000    0.0000    4.1039    0.7185  -90.0000    0.0000    0.0008    57    58    59     3
    59    0.0000    0.0000    3.3855    0.7185  -90.0000    0.0000    0.0008    58    59    60     3
    60    0.0000    0.0000    2.6670    0.7185  -90.0000    0.0000    0.0008    59    60    61     3
    61    0.0000    0.0000    1.9485    0.7185  -90.0000    0.0000    0.0008    60    61    62     3
    62    0.0000    0.0000    1.2301    0.7185  -90.0000    0.0000    0.0008    61    62    63     3
    63    0.0000    0.0000    0.5116    0.7185  -90.0000    0.0000    0.0008    62    63    64     3
    64    0.0000    1.1974    0.1524    2.3949    0.0000   90.0000    0.0008   -85    64    65     4
    65    0.0000    3.5923    0.1524    2.3949    0.0000   90.0000    0.0008    64    65    66     4
    66    0.0000    5.9871    0.1524    2.3949    0.0000   90.0000    0.0008    65    66    67     4
    67    0.0000    8.3820    0.1524    2.3949    0.0000   90.0000    0.0008    66    67    68     4
    68    0.0000   10.7769    0.1524    2.3949    0.0000   90.0000    0.0008    67    68    69     4
    69    0.0000   13.1717    0.1524    2.3949    0.0000   90.0000    0.0008    68    69    70     4
    70    0.0000   15.5666    0.1524    2.3949    0.0000   90.0000    0.0008    69    70    71     4
    71    0.0000   17.9614    0.1524    2.3949    0.0000   90.0000    0.0008    70    71    72     4
    72    0.0000   20.3563    0.1524    2.3949    0.0000   90.0000    0.0008    71    72    73     4
    73    0.0000   22.7511    0.1524    2.3949    0.0000   90.0000    0.0008    72    73    74     4
    74    0.0000   25.1460    0.1524    2.3949    0.0000   90.0000    0.0008    73    74    75     4
    75    0.0000   27.5409    0.1524    2.3949    0.0000   90.0000    0.0008    74    75    76     4
    76    0.0000   29.9357    0.1524    2.3949    0.0000   90.0000    0.0008    75    76    77     4
    77    0.0000   32.3306    0.1524    2.3949    0.0000   90.0000    0.0008    76    77    78     4
    78    0.0000   34.7254    0.1524    2.3949    0.0000   90.0000    0.0008    77    78    79     4
    79    0.0000   37.1203    0.1524    2.3949    0.0000   90.0000    0.0008    78    79    80     4
    80    0.0000   39.5151    0.1524    2.3949    0.0000   90.0000    0.0008    79    80    81     4
    81    0.0000   41.9100    0.1524    2.3949    0.0000   90.0000    0.0008    80    81    82     4
    82    0.0000   44.3049    0.1524    2.3949    0.0000   90.0000    0.0008    81    82    83     4
    83    0.0000   46.6997    0.1524    2.3949    0.0000   90.0000    0.0008    82    83    84     4
